real12,pred12,real3,pred3
65.77778,63.812073,63.444443,63.49461
67.625,63.800724,64.875,63.366905
66.75,64.62353,67.75,64.0749
63.88889,65.40824,66.22222,64.53769
66.875,65.714066,66.5,64.842224
68.22222,66.433044,50.875,65.38149
66.25,66.53959,61.444443,65.5365
67.125,66.52814,64.0,65.668205
64.888885,64.43238,67.0,63.929306
58.625,64.42404,65.77778,63.522697
64.666664,65.11891,67.625,64.38048
66.75,65.54704,66.75,64.90995
65.77778,66.23062,63.88889,65.55045
66.375,66.71698,66.875,66.08566
68.75,66.91151,68.22222,66.50117
67.111115,67.20334,66.25,66.42692
67.875,67.04686,67.125,66.42804
66.375,67.33935,64.888885,66.91033
68.55556,67.44897,58.625,67.004974
67.875,67.2138,64.666664,67.125946
67.28571,66.863365,66.75,66.897766
66.0,65.17395,65.77778,65.83719
64.666664,61.37068,66.375,64.5405
66.77778,65.93106,68.75,66.117676
65.5,65.99968,67.111115,66.11941
67.5,66.297195,67.875,66.49652
65.125,67.36273,66.375,67.22899
66.111115,67.39395,68.55556,67.30401
68.625,67.48962,67.875,67.46559
68.44444,67.38823,67.28571,67.35473
67.75,67.52649,66.0,67.5145
68.25,67.55401,64.666664,67.632095
67.125,67.62488,66.77778,67.67372
69.125,67.23967,65.5,67.34798
67.0,65.51347,67.5,66.18413
65.375,66.71188,65.125,66.72494
67.125,64.860115,66.111115,65.732574
67.71429,66.70918,68.625,66.817375
67.375,65.89326,68.44444,66.25933
68.111115,66.251144,67.75,66.37532
65.25,67.09184,68.25,67.01853
67.333336,67.36422,67.125,67.30228
64.25,67.45239,69.125,67.39295
65.77778,67.490295,67.0,67.50391
64.875,67.44911,65.375,67.442955
67.0,67.68973,67.125,67.71544
66.57143,67.69176,67.71429,67.64446
66.0,67.35681,67.375,67.24007
67.5,67.19123,68.111115,67.18073
63.125,67.18592,65.25,67.301186
63.88889,67.124374,67.333336,67.28726
67.125,67.353714,64.25,67.46231
67.625,66.72306,65.77778,66.85254
66.0,66.87514,64.875,67.02637
64.5,66.23297,67.0,66.33664
66.77778,66.00548,66.57143,66.239
64.25,65.64924,66.0,65.87315
66.125,65.70635,67.5,66.042366
66.0,65.87455,63.125,66.1063
64.875,65.790245,63.88889,66.02752
67.75,66.105896,67.125,66.29434
65.75,65.46712,67.625,65.60422
64.75,65.10833,66.0,65.19558
65.44444,65.5229,64.5,65.66881
66.75,65.86241,66.77778,65.97078
65.875,65.948906,64.25,65.968315
64.625,65.66108,66.125,65.680466
65.55556,65.84932,66.0,65.935196
65.25,65.541046,64.875,65.65874
66.0,65.56497,67.75,65.68579
66.111115,65.59178,65.75,65.74927
65.0,65.40613,64.75,65.51619
64.22222,65.78703,65.44444,65.8722
63.0,65.77962,66.75,65.858406
66.888885,65.606544,65.875,65.64773
65.375,65.54671,64.625,65.54901
67.375,65.6301,65.55556,65.70767
68.0,65.68691,65.25,65.69955
66.111115,65.602356,66.0,65.568924
67.75,65.56929,66.111115,65.54905
66.25,65.45346,65.0,65.49259
67.125,65.56113,64.22222,65.57901
66.44444,65.67889,63.0,65.71562
67.75,65.54572,66.888885,65.58345
65.55556,65.27454,65.375,65.26246
65.0,64.824,67.375,64.83648
67.14286,65.26526,68.0,65.3103
67.25,65.31114,66.111115,65.35562
65.875,65.54018,67.75,65.591835
66.111115,65.974846,66.25,66.04794
65.333336,66.073685,67.125,66.109245
0.0,66.31404,66.44444,66.36701
0.0,66.44319,67.75,66.43309
0.0,66.57115,65.55556,66.56977
0.0,66.584946,65.0,66.54689
0.0,66.83542,67.14286,66.834206
0.0,66.73155,67.25,66.66961
0.0,66.55705,65.875,66.482475
0.0,66.628914,66.111115,66.60591
0.0,66.77236,65.333336,66.77701
66.25,66.69745,0.0,66.6534
65.5,66.60126,0.0,66.559906
